id,lr,batch_size,num_layers,hidden_size,min_test_loss
1,0.0001,32,1,50,0.043915584683418274
2,0.0001,32,1,100,0.04414404556155205
3,0.0001,32,1,200,0.043886616826057434
4,0.0001,32,1,300,0.04398415982723236
5,0.0001,32,1,400,0.044176310300827026
6,0.0001,32,1,500,0.044035404920578
7,0.0001,32,2,50,0.030822137370705605
8,0.0001,32,2,100,0.026944393292069435
9,0.0001,32,2,200,0.023255595937371254
10,0.0001,32,2,300,0.02103075385093689
11,0.0001,32,2,400,0.019936949014663696
12,0.0001,32,2,500,0.018989333882927895
13,0.0001,32,3,50,0.016897939145565033
14,0.0001,32,3,100,0.015774615108966827
15,0.0001,32,3,200,0.015840202569961548
16,0.0001,32,3,300,0.015715014189481735
17,0.0001,32,3,400,0.01562659628689289
18,0.0001,32,3,500,0.01584409363567829
19,0.0001,32,4,50,0.01570337451994419
20,0.0001,32,4,100,0.01572320982813835
21,0.0001,32,4,200,0.016067015007138252
22,0.0001,32,4,300,0.016075482591986656
23,0.0001,32,4,400,0.015765860676765442
24,0.0001,32,4,500,0.015737779438495636
25,0.0001,32,5,50,0.015840420499444008
26,0.0001,32,5,100,0.015737639740109444
27,0.0001,32,5,200,0.015723008662462234
28,0.0001,32,5,300,0.01573200337588787
29,0.0001,32,5,400,0.016183093190193176
30,0.0001,32,5,500,0.016006315127015114
31,0.0001,64,1,50,0.04421338066458702
32,0.0001,64,1,100,0.04431287944316864
33,0.0001,64,1,200,0.0440477654337883
34,0.0001,64,1,300,0.0438653938472271
35,0.0001,64,1,400,0.043977364897727966
36,0.0001,64,1,500,0.044213954359292984
37,0.0001,64,2,50,0.03820475935935974
38,0.0001,64,2,100,0.03251964598894119
39,0.0001,64,2,200,0.0318731889128685
40,0.0001,64,2,300,0.027180936187505722
41,0.0001,64,2,400,0.026135118678212166
42,0.0001,64,2,500,0.02417052537202835
43,0.0001,64,3,50,0.017873160541057587
44,0.0001,64,3,100,0.016227547079324722
45,0.0001,64,3,200,0.015808865427970886
46,0.0001,64,3,300,0.015991242602467537
47,0.0001,64,3,400,0.015804093331098557
48,0.0001,64,3,500,0.015790559351444244
49,0.0001,64,4,50,0.015989182516932487
50,0.0001,64,4,100,0.015914790332317352
51,0.0001,64,4,200,0.01593959331512451
52,0.0001,64,4,300,0.016090406104922295
53,0.0001,64,4,400,0.01596691831946373
