lr,batch_size,num_layers,hidden_size,dropout_rate,init,test_loss
1e-05,32,3,50,0.2,he,0.05042900890111923
1e-05,32,3,50,0.2,xavier,0.051729872822761536
1e-05,32,3,50,0.3,he,0.053188249468803406
1e-05,32,3,50,0.3,xavier,0.04723207652568817
1e-05,32,3,50,0.4,he,0.0485728420317173
1e-05,32,3,50,0.4,xavier,0.047372907400131226
1e-05,32,3,50,0.5,he,0.04712111875414848
1e-05,32,3,50,0.5,xavier,0.05276782065629959
1e-05,32,3,100,0.2,he,0.046626754105091095
1e-05,32,3,100,0.2,xavier,0.045571282505989075
1e-05,32,3,100,0.3,he,0.04707939177751541
1e-05,32,3,100,0.3,xavier,0.04403840750455856
1e-05,32,3,100,0.4,he,0.047659654170274734
1e-05,32,3,100,0.4,xavier,0.04647623747587204
1e-05,32,3,100,0.5,he,0.04659537598490715
1e-05,32,3,100,0.5,xavier,0.04669854789972305
1e-05,32,3,200,0.2,he,0.04104156419634819
1e-05,32,3,200,0.2,xavier,0.033313456922769547
1e-05,32,3,200,0.3,he,0.041923485696315765
1e-05,32,3,200,0.3,xavier,0.03817812725901604
1e-05,32,3,200,0.4,he,0.04399112984538078
1e-05,32,3,200,0.4,xavier,0.03993021696805954
1e-05,32,3,200,0.5,he,0.04409850388765335
1e-05,32,3,200,0.5,xavier,0.04207613691687584
1e-05,32,3,300,0.2,he,0.031811684370040894
1e-05,32,3,300,0.2,xavier,0.03131157159805298
1e-05,32,3,300,0.3,he,0.03350764513015747
1e-05,32,3,300,0.3,xavier,0.03315027430653572
1e-05,32,3,300,0.4,he,0.04063323140144348
1e-05,32,3,300,0.4,xavier,0.034853994846343994
1e-05,32,3,300,0.5,he,0.04110140725970268
1e-05,32,3,300,0.5,xavier,0.0378381721675396
1e-05,32,3,400,0.2,he,0.027880793437361717
1e-05,32,3,400,0.2,xavier,0.024352312088012695
1e-05,32,3,400,0.3,he,0.03413433954119682
1e-05,32,3,400,0.3,xavier,0.02674284391105175
1e-05,32,3,400,0.4,he,0.03806053847074509
1e-05,32,3,400,0.4,xavier,0.03145279362797737
1e-05,32,3,400,0.5,he,0.0399954728782177
1e-05,32,3,400,0.5,xavier,0.03436620160937309
1e-05,32,3,500,0.2,he,0.02550536021590233
1e-05,32,3,500,0.2,xavier,0.021672798320651054
1e-05,32,3,500,0.3,he,0.028410473838448524
1e-05,32,3,500,0.3,xavier,0.023114828392863274
1e-05,32,3,500,0.4,he,0.03164186701178551
1e-05,32,3,500,0.4,xavier,0.027206838130950928
1e-05,32,3,500,0.5,he,0.03430403023958206
1e-05,32,3,500,0.5,xavier,0.030275441706180573
1e-05,32,4,50,0.2,he,0.04879263788461685
1e-05,32,4,50,0.2,xavier,0.046480122953653336
1e-05,32,4,50,0.3,he,0.04803827777504921
1e-05,32,4,50,0.3,xavier,0.04716718569397926
1e-05,32,4,50,0.4,he,0.04765709489583969
1e-05,32,4,50,0.4,xavier,0.0451158806681633
1e-05,32,4,50,0.5,he,0.0462723933160305
