lr,batch_size,num_layers,hidden_size,test_loss
0.0001,32,1,50,0.06428869068622589
0.0001,32,1,100,0.06469330936670303
0.0001,32,1,200,0.0645383968949318
0.0001,32,1,300,0.06450982391834259
0.0001,32,1,400,0.06414521485567093
0.0001,32,1,500,0.06433138996362686
0.0001,32,2,50,0.05767840892076492
0.0001,32,2,100,0.047769661992788315
0.0001,32,2,200,0.03648290038108826
0.0001,32,2,300,0.030520785599946976
0.0001,32,2,400,0.029439777135849
0.0001,32,2,500,0.02576546184718609
0.0001,32,3,50,0.028084807097911835
0.0001,32,3,100,0.023005831986665726
0.0001,32,3,200,0.0223873108625412
0.0001,32,3,300,0.02234971895813942
0.0001,32,3,400,0.022214924916625023
0.0001,32,3,500,0.022190570831298828
0.0001,32,4,50,0.024456297978758812
0.0001,32,4,100,0.023114226758480072
0.0001,32,4,200,0.022380352020263672
0.0001,32,4,300,0.022710682824254036
0.0001,32,4,400,0.022703742608428
0.0001,32,4,500,0.022686537355184555
0.0001,32,5,50,0.023271873593330383
0.0001,32,5,100,0.0231823418289423
0.0001,32,5,200,0.02272011525928974
0.0001,32,5,300,0.022814881056547165
0.0001,32,5,400,0.022731775417923927
0.0001,32,5,500,0.022356929257512093
0.0001,64,1,50,0.0643123909831047
0.0001,64,1,100,0.06453240662813187
0.0001,64,1,200,0.06457434594631195
0.0001,64,1,300,0.06515317410230637
0.0001,64,1,400,0.06465958803892136
0.0001,64,1,500,0.06467278301715851
0.0001,64,2,50,0.059990666806697845
0.0001,64,2,100,0.055884070694446564
0.0001,64,2,200,0.04623088240623474
0.0001,64,2,300,0.04162943735718727
0.0001,64,2,400,0.03471130132675171
0.0001,64,2,500,0.03327266871929169
0.0001,64,3,50,0.04182431101799011
0.0001,64,3,100,0.027973227202892303
0.0001,64,3,200,0.022800307720899582
0.0001,64,3,300,0.022813575342297554
0.0001,64,3,400,0.022176893427968025
0.0001,64,3,500,0.02270415797829628
0.0001,64,4,50,0.025235256180167198
0.0001,64,4,100,0.023138251155614853
0.0001,64,4,200,0.022873612120747566
0.0001,64,4,300,0.02274629846215248
0.0001,64,4,400,0.022177131846547127
0.0001,64,4,500,0.022476840764284134
0.0001,64,5,50,0.023832038044929504
0.0001,64,5,100,0.023106975480914116
0.0001,64,5,200,0.022383125498890877
0.0001,64,5,300,0.022562583908438683
0.0001,64,5,400,0.021981116384267807
0.0001,64,5,500,0.02277800254523754
0.0001,128,1,50,0.06424622982740402
0.0001,128,1,100,0.06489202380180359
0.0001,128,1,200,0.06434544920921326
0.0001,128,1,300,0.06497624516487122
0.0001,128,1,400,0.06501836329698563
0.0001,128,1,500,0.06467685848474503
0.0001,128,2,50,0.06204890087246895
0.0001,128,2,100,0.05839182808995247
0.0001,128,2,200,0.05356050655245781
0.0001,128,2,300,0.05033884197473526
0.0001,128,2,400,0.04507681354880333
0.0001,128,2,500,0.04253637418150902
0.0001,128,3,50,0.059792399406433105
0.0001,128,3,100,0.03285674378275871
0.0001,128,3,200,0.02339796908199787
0.0001,128,3,300,0.02282843180000782
0.0001,128,3,400,0.022378768771886826
0.0001,128,3,500,0.022299697622656822
0.0001,128,4,50,0.040746383368968964
0.0001,128,4,100,0.023660745471715927
0.0001,128,4,200,0.023002764210104942
0.0001,128,4,300,0.0224711075425148
0.0001,128,4,400,0.022480472922325134
0.0001,128,4,500,0.022291172295808792
0.0001,128,5,50,0.028697459027171135
0.0001,128,5,100,0.024090440943837166
0.0001,128,5,200,0.02282426320016384
0.0001,128,5,300,0.022453512996435165
0.0001,128,5,400,0.02291281521320343
0.0001,128,5,500,0.0223171878606081
0.0001,256,1,50,0.06467297673225403
0.0001,256,1,100,0.06501504778862
0.0001,256,1,200,0.06525677442550659
0.0001,256,1,300,0.06482243537902832
0.0001,256,1,400,0.06439502537250519
0.0001,256,1,500,0.06460834294557571
0.0001,256,2,50,0.06401816755533218
0.0001,256,2,100,0.06196700409054756
0.0001,256,2,200,0.060667622834444046
0.0001,256,2,300,0.05800379067659378
0.0001,256,2,400,0.05538468807935715
0.0001,256,2,500,0.05406508967280388
0.0001,256,3,50,0.061586420983076096
0.0001,256,3,100,0.05023500323295593
0.0001,256,3,200,0.030932672321796417
0.0001,256,3,300,0.024729587137699127
0.0001,256,3,400,0.022702571004629135
0.0001,256,3,500,0.022241923958063126
0.0001,256,4,50,0.06129911541938782
0.0001,256,4,100,0.028961773961782455
0.0001,256,4,200,0.023657819256186485
0.0001,256,4,300,0.022134771570563316
0.0001,256,4,400,0.02218545973300934
0.0001,256,4,500,0.022366369143128395
0.0001,256,5,50,0.034774571657180786
0.0001,256,5,100,0.024668890982866287
0.0001,256,5,200,0.02349584549665451
0.0001,256,5,300,0.022686302661895752
0.0001,256,5,400,0.022504078224301338
0.0001,256,5,500,0.022525323554873466
0.001,32,1,50,0.06404095143079758
0.001,32,1,100,0.06407315284013748
0.001,32,1,200,0.06400734186172485
0.001,32,1,300,0.06405087560415268
0.001,32,1,400,0.06398346275091171
0.001,32,1,500,0.06395960599184036
0.001,32,2,50,0.022516146302223206
0.001,32,2,100,0.02283807471394539
0.001,32,2,200,0.022694529965519905
0.001,32,2,300,0.023121824488043785
0.001,32,2,400,0.02300558239221573
0.001,32,2,500,0.022744180634617805
0.001,32,3,50,0.022904297336935997
0.001,32,3,100,0.02287542074918747
0.001,32,3,200,0.023239171132445335
0.001,32,3,300,0.02300277352333069
0.001,32,3,400,0.02308189682662487
0.001,32,3,500,0.023181375116109848
0.001,32,4,50,0.02269827201962471
0.001,32,4,100,0.023723363876342773
0.001,32,4,200,0.023861559107899666
0.001,32,4,300,0.023324333131313324
0.001,32,4,400,0.022636044770479202
0.001,32,4,500,0.022545209154486656
0.001,32,5,50,0.023420661687850952
0.001,32,5,100,0.023628490045666695
0.001,32,5,200,0.02298286370933056
0.001,32,5,300,0.022373788058757782
0.001,32,5,400,0.023026030510663986
0.001,32,5,500,0.0232224240899086
0.001,64,1,50,0.06397046148777008
0.001,64,1,100,0.06400720030069351
0.001,64,1,200,0.0639968141913414
0.001,64,1,300,0.0639578178524971
0.001,64,1,400,0.06405141204595566
0.001,64,1,500,0.0640636682510376
0.001,64,2,50,0.02253793738782406
0.001,64,2,100,0.022555628791451454
0.001,64,2,200,0.02295312099158764
0.001,64,2,300,0.022752292454242706
0.001,64,2,400,0.02299031987786293
0.001,64,2,500,0.022878611460328102
0.001,64,3,50,0.022793740034103394
0.001,64,3,100,0.023160457611083984
0.001,64,3,200,0.023226173594594002
0.001,64,3,300,0.02319178730249405
0.001,64,3,400,0.022765208035707474
0.001,64,3,500,0.023205392062664032
0.001,64,4,50,0.023126794025301933
0.001,64,4,100,0.022909970954060555
0.001,64,4,200,0.023667696863412857
0.001,64,4,300,0.02352960966527462
0.001,64,4,400,0.023643437772989273
0.001,64,4,500,0.022816797718405724
0.001,64,5,50,0.023598916828632355
0.001,64,5,100,0.02360057644546032
0.001,64,5,200,0.023674828931689262
0.001,64,5,300,0.022935880348086357
0.001,64,5,400,0.02320033498108387
0.001,64,5,500,0.022954478859901428
0.001,128,1,50,0.06404498219490051
0.001,128,1,100,0.06407935917377472
0.001,128,1,200,0.0640450268983841
0.001,128,1,300,0.06407216191291809
0.001,128,1,400,0.06409210711717606
0.001,128,1,500,0.06398549675941467
0.001,128,2,50,0.02352566458284855
0.001,128,2,100,0.022610312327742577
0.001,128,2,200,0.02270744927227497
0.001,128,2,300,0.02274659462273121
0.001,128,2,400,0.022874165326356888
0.001,128,2,500,0.022551968693733215
0.001,128,3,50,0.022392231971025467
0.001,128,3,100,0.022750159725546837
0.001,128,3,200,0.02316080406308174
0.001,128,3,300,0.0225039292126894
0.001,128,3,400,0.022147968411445618
