lr,batch_size,num_layers,hidden_size,reduction_factor,test_loss
0.0001,128,4,600,0.2,0.02183561772108078
0.0001,128,4,600,0.4,0.02221054397523403
0.0001,128,4,600,0.6,0.022354574874043465
0.0001,128,4,600,0.8,0.022244859486818314
0.0001,128,4,600,1.0,0.021936945617198944
0.0001,128,4,800,0.2,0.021633736789226532
0.0001,128,4,800,0.4,0.021884724497795105
0.0001,128,4,800,0.6,0.022122761234641075
0.0001,128,4,800,0.8,0.0218768622726202
0.0001,128,4,800,1.0,0.0219650249928236
0.0001,128,4,1000,0.2,0.021822398528456688
0.0001,128,4,1000,0.4,0.0220339335501194
0.0001,128,4,1000,0.6,0.02199389785528183
0.0001,128,4,1000,0.8,0.021864673122763634
0.0001,128,4,1000,1.0,0.0218476802110672
0.0001,128,4,1200,0.2,0.02185271866619587
0.0001,128,4,1200,0.4,0.021762851625680923
0.0001,128,4,1200,0.6,0.02194894291460514
0.0001,128,4,1200,0.8,0.022024720907211304
0.0001,128,4,1200,1.0,0.022096842527389526
0.0001,128,5,600,0.2,0.02207767218351364
0.0001,128,5,600,0.4,0.021556910127401352
0.0001,128,5,600,0.6,0.021828830242156982
0.0001,128,5,600,0.8,0.02218800224363804
0.0001,128,5,600,1.0,0.022043583914637566
0.0001,128,5,800,0.2,0.022329391911625862
0.0001,128,5,800,0.4,0.0216833408921957
0.0001,128,5,800,0.6,0.021900728344917297
0.0001,128,5,800,0.8,0.022247690707445145
0.0001,128,5,800,1.0,0.022174915298819542
0.0001,128,5,1000,0.2,0.022131575271487236
0.0001,128,5,1000,0.4,0.02174549736082554
0.0001,128,5,1000,0.6,0.022097626700997353
0.0001,128,5,1000,0.8,0.021981390193104744
0.0001,128,5,1000,1.0,0.022181853652000427
0.0001,128,5,1200,0.2,0.021829014644026756
0.0001,128,5,1200,0.4,0.02173231728374958
0.0001,128,5,1200,0.6,0.021836981177330017
0.0001,128,5,1200,0.8,0.022200938314199448
0.0001,128,5,1200,1.0,0.022142216563224792
0.0001,128,6,600,0.2,0.07390134036540985
0.0001,128,6,600,0.4,0.02196841686964035
0.0001,128,6,600,0.6,0.022215917706489563
0.0001,128,6,600,0.8,0.02212766371667385
0.0001,128,6,600,1.0,0.022674893960356712
0.0001,128,6,800,0.2,0.027007637545466423
0.0001,128,6,800,0.4,0.021884359419345856
0.0001,128,6,800,0.6,0.022486595436930656
0.0001,128,6,800,0.8,0.02232767455279827
0.0001,128,6,800,1.0,0.02221863530576229
0.0001,128,6,1000,0.2,0.026556972414255142
0.0001,128,6,1000,0.4,0.021915821358561516
0.0001,128,6,1000,0.6,0.022170627489686012
0.0001,128,6,1000,0.8,0.022014813497662544
