lr,batch_size,num_layers,hidden_size,test_loss
0.0001,32,1,50,0.017024951055645943
0.0001,32,1,100,0.017023921012878418
0.0001,32,1,200,0.017091942951083183
0.0001,32,1,300,0.017027171328663826
0.0001,32,1,400,0.017069419845938683
0.0001,32,2,50,0.012538986280560493
0.0001,32,2,100,0.009333645924925804
0.0001,32,2,200,0.0075209857895970345
0.0001,32,2,300,0.006959834136068821
0.0001,32,2,400,0.006592791061848402
0.0001,32,3,50,0.007599630858749151
0.0001,32,3,100,0.006594272330403328
0.0001,32,3,200,0.006526054814457893
0.0001,32,3,300,0.006471783854067326
0.0001,32,3,400,0.0064443983137607574
0.0001,32,4,50,0.006926220376044512
0.0001,32,4,100,0.006688152905553579
0.0001,32,4,200,0.006570255383849144
0.0001,32,4,300,0.006598901003599167
0.0001,32,4,400,0.006416357588022947
0.0001,32,5,50,0.006915508769452572
0.0001,32,5,100,0.006647035945206881
0.0001,32,5,200,0.006544126663357019
0.0001,32,5,300,0.006598988082259893
0.0001,32,5,400,0.006608662195503712
0.0001,64,1,50,0.017104070633649826
0.0001,64,1,100,0.01714831218123436
0.0001,64,1,200,0.01722356304526329
0.0001,64,1,300,0.016970597207546234
0.0001,64,1,400,0.01700807921588421
0.0001,64,2,50,0.013936106115579605
0.0001,64,2,100,0.01121247373521328
0.0001,64,2,200,0.009337539784610271
0.0001,64,2,300,0.00787955429404974
0.0001,64,2,400,0.007192928809672594
0.0001,64,3,50,0.00820657517760992
0.0001,64,3,100,0.0067732916213572025
0.0001,64,3,200,0.006592347286641598
0.0001,64,3,300,0.006553056184202433
0.0001,64,3,400,0.006487661972641945
0.0001,64,4,50,0.00694471038877964
0.0001,64,4,100,0.006667965091764927
0.0001,64,4,200,0.006635246332734823
0.0001,64,4,300,0.0065978458151221275
0.0001,64,4,400,0.0064818100072443485
0.0001,64,5,50,0.007019861601293087
0.0001,64,5,100,0.006676849443465471
0.0001,64,5,200,0.006650115828961134
0.0001,64,5,300,0.006543594412505627
0.0001,64,5,400,0.006567967589944601
0.0001,128,1,50,0.017381949350237846
0.0001,128,1,100,0.017268873751163483
0.0001,128,1,200,0.017248939722776413
0.0001,128,1,300,0.017208168283104897
0.0001,128,1,400,0.017429478466510773
0.0001,128,2,50,0.01584574580192566
0.0001,128,2,100,0.014625940471887589
0.0001,128,2,200,0.011690436862409115
0.0001,128,2,300,0.010416237637400627
0.0001,128,2,400,0.009293429553508759
0.0001,128,3,50,0.011160644702613354
0.0001,128,3,100,0.007355055306106806
0.0001,128,3,200,0.006522730458527803
0.0001,128,3,300,0.00653867470100522
0.0001,128,3,400,0.006499555427581072
0.0001,128,4,50,0.00827712845057249
0.0001,128,4,100,0.006775400135666132
0.0001,128,4,200,0.0065950569696724415
0.0001,128,4,300,0.006456192582845688
0.0001,128,4,400,0.006617718376219273
0.0001,128,5,50,0.007069544866681099
0.0001,128,5,100,0.006655923090875149
0.0001,128,5,200,0.006664198357611895
0.0001,128,5,300,0.006580932531505823
0.0001,128,5,400,0.006584047805517912
0.0001,256,1,50,0.017484379932284355
0.0001,256,1,100,0.017412839457392693
0.0001,256,1,200,0.01741633377969265
0.0001,256,1,300,0.017623163759708405
0.0001,256,1,400,0.017945174127817154
0.0001,256,2,50,0.016829682514071465
0.0001,256,2,100,0.015678029507398605
0.0001,256,2,200,0.014720377512276173
0.0001,256,2,300,0.013224700465798378
0.0001,256,2,400,0.012288271449506283
0.0001,256,3,50,0.014737993478775024
0.0001,256,3,100,0.011559871956706047
0.0001,256,3,200,0.006744576618075371
0.0001,256,3,300,0.0066488091833889484
0.0001,256,3,400,0.006501189898699522
0.0001,256,4,50,0.010900995694100857
0.0001,256,4,100,0.00722156697884202
0.0001,256,4,200,0.006674126256257296
0.0001,256,4,300,0.006609625648707151
0.0001,256,4,400,0.006598205305635929
0.0001,256,5,50,0.00980924442410469
0.0001,256,5,100,0.006807386409491301
0.0001,256,5,200,0.006730648688971996
0.0001,256,5,300,0.00665981275960803
0.0001,256,5,400,0.006578553002327681
0.0005,32,1,50,0.01700664684176445
0.0005,32,1,100,0.01701042428612709
0.0005,32,1,200,0.01703006587922573
0.0005,32,1,300,0.01697535440325737
0.0005,32,1,400,0.017015859484672546
0.0005,32,2,50,0.006622456945478916
0.0005,32,2,100,0.006578824482858181
0.0005,32,2,200,0.006552370730787516
0.0005,32,2,300,0.006474764551967382
0.0005,32,2,400,0.0065127164125442505
0.0005,32,3,50,0.006517431698739529
0.0005,32,3,100,0.00670671695843339
0.0005,32,3,200,0.0065527865663170815
0.0005,32,3,300,0.006583986803889275
0.0005,32,3,400,0.006637397687882185
0.0005,32,4,50,0.006612933240830898
0.0005,32,4,100,0.006698119919747114
0.0005,32,4,200,0.0067676459439098835
0.0005,32,4,300,0.006730192806571722
0.0005,32,4,400,0.006460497621446848
0.0005,32,5,50,0.006660724990069866
0.0005,32,5,100,0.006491311360150576
0.0005,32,5,200,0.006638881750404835
0.0005,32,5,300,0.00629979046061635
0.0005,32,5,400,0.006306980270892382
0.0005,64,1,50,0.017010126262903214
0.0005,64,1,100,0.017017900943756104
0.0005,64,1,200,0.016998836770653725
0.0005,64,1,300,0.01701464131474495
0.0005,64,1,400,0.017010938376188278
0.0005,64,2,50,0.006473511923104525
0.0005,64,2,100,0.006604306399822235
0.0005,64,2,200,0.006534426473081112
0.0005,64,2,300,0.006524324882775545
0.0005,64,2,400,0.006526268552988768
0.0005,64,3,50,0.006577742286026478
0.0005,64,3,100,0.006646264344453812
0.0005,64,3,200,0.006534152198582888
0.0005,64,3,300,0.006539785768836737
0.0005,64,3,400,0.006589221768081188
0.0005,64,4,50,0.006641990039497614
0.0005,64,4,100,0.006694856099784374
0.0005,64,4,200,0.006767541170120239
0.0005,64,4,300,0.006597719620913267
0.0005,64,4,400,0.006660053040832281
0.0005,64,5,50,0.006658000405877829
0.0005,64,5,100,0.006710957735776901
0.0005,64,5,200,0.006614227779209614
0.0005,64,5,300,0.006577698979526758
0.0005,64,5,400,0.006394769065082073
0.0005,128,1,50,0.017009351402521133
0.0005,128,1,100,0.01702834852039814
0.0005,128,1,200,0.017019540071487427
0.0005,128,1,300,0.017012109979987144
0.0005,128,1,400,0.017023475840687752
0.0005,128,2,50,0.006933432072401047
0.0005,128,2,100,0.006586513016372919
0.0005,128,2,200,0.006552130449563265
0.0005,128,2,300,0.006516981869935989
0.0005,128,2,400,0.006505957338958979
0.0005,128,3,50,0.0065763769671320915
0.0005,128,3,100,0.006579499691724777
0.0005,128,3,200,0.006614056881517172
0.0005,128,3,300,0.006517934612929821
0.0005,128,3,400,0.006628881208598614
0.0005,128,4,50,0.0064943465404212475
0.0005,128,4,100,0.006643910426646471
0.0005,128,4,200,0.006705989595502615
0.0005,128,4,300,0.006701968610286713
0.0005,128,4,400,0.006553949322551489
0.0005,128,5,50,0.006585065741091967
0.0005,128,5,100,0.006593521684408188
0.0005,128,5,200,0.006656305864453316
0.0005,128,5,300,0.006613727658987045
0.0005,128,5,400,0.00656116520985961
0.0005,256,1,50,0.017020564526319504
0.0005,256,1,100,0.01703476533293724
0.0005,256,1,200,0.016998251900076866
0.0005,256,1,300,0.01704571023583412
0.0005,256,1,400,0.017039576545357704
0.0005,256,2,50,0.008718612603843212
0.0005,256,2,100,0.006936448160558939
0.0005,256,2,200,0.006610942538827658
0.0005,256,2,300,0.006594072096049786
0.0005,256,2,400,0.006540466099977493
0.0005,256,3,50,0.006613241974264383
0.0005,256,3,100,0.006493973545730114
