lr,batch_size,num_layers,hidden_size,reduce_factor,test_loss
0.0001,32,4,300,0.2,0.006602598819881678
0.0001,32,4,300,0.4,0.006465823855251074
0.0001,32,4,300,0.6,0.006422364618629217
0.0001,32,4,300,0.8,0.006511930376291275
0.0001,32,4,300,1.0,0.006626922637224197
0.0001,32,4,500,0.2,0.0064040920697152615
0.0001,32,4,500,0.4,0.006537878420203924
0.0001,32,4,500,0.6,0.006456367205828428
0.0001,32,4,500,0.8,0.0064133768901228905
0.0001,32,4,500,1.0,0.0065628886222839355
0.0001,32,4,700,0.2,0.006390323396772146
0.0001,32,4,700,0.4,0.006458980962634087
0.0001,32,4,700,0.6,0.006402918603271246
0.0001,32,4,700,0.8,0.006492204032838345
0.0001,32,4,700,1.0,0.006426546256989241
0.0001,32,4,1000,0.2,0.006348223425447941
0.0001,32,4,1000,0.4,0.006359521299600601
0.0001,32,4,1000,0.6,0.006324958521872759
0.0001,32,4,1000,0.8,0.006436319090425968
0.0001,32,4,1000,1.0,0.006386909633874893
0.0001,32,4,1500,0.2,0.006338135804980993
0.0001,32,4,1500,0.4,0.006417556200176477
0.0001,32,4,1500,0.6,0.006457094568759203
0.0001,32,4,1500,0.8,0.006421342026442289
0.0001,32,4,1500,1.0,0.006269064731895924
0.0001,32,4,2000,0.2,0.006307631731033325
0.0001,32,4,2000,0.4,0.006316805258393288
0.0001,32,4,2000,0.6,0.006321469787508249
0.0001,32,4,2000,0.8,0.00624850345775485
0.0001,32,4,2000,1.0,0.006253073923289776
0.0001,32,4,3000,0.2,0.006372902076691389
0.0001,32,4,3000,0.4,0.0063185663893818855
0.0001,32,4,3000,0.6,0.006259291432797909
0.0001,32,4,3000,0.8,0.006223913282155991
0.0001,32,4,3000,1.0,0.006260259076952934
0.0001,32,5,300,0.2,0.007499496452510357
0.0001,32,5,300,0.4,0.006547898519784212
0.0001,32,5,300,0.6,0.0065449816174805164
0.0001,32,5,300,0.8,0.0064821019768714905
0.0001,32,5,300,1.0,0.006528559140861034
0.0001,32,5,500,0.2,0.00649237260222435
0.0001,32,5,500,0.4,0.006391425151377916
0.0001,32,5,500,0.6,0.006492350250482559
0.0001,32,5,500,0.8,0.006591151934117079
0.0001,32,5,500,1.0,0.006480880547314882
0.0001,32,5,700,0.2,0.006902946624904871
0.0001,32,5,700,0.4,0.006227164063602686
0.0001,32,5,700,0.6,0.00648164376616478
0.0001,32,5,700,0.8,0.0063888803124427795
0.0001,32,5,700,1.0,0.00638436246663332
0.0001,32,5,1000,0.2,0.006267921533435583
0.0001,32,5,1000,0.4,0.006415823474526405
0.0001,32,5,1000,0.6,0.0064547182992100716
0.0001,32,5,1000,0.8,0.0063781230710446835
0.0001,32,5,1000,1.0,0.006356734316796064
0.0001,32,5,1500,0.2,0.006300678011029959
0.0001,32,5,1500,0.4,0.006327326875180006
0.0001,32,5,1500,0.6,0.006225006189197302
0.0001,32,5,1500,0.8,0.0063935210928320885
0.0001,32,5,1500,1.0,0.006222533993422985
0.0001,32,5,2000,0.2,0.006420591846108437
0.0001,32,5,2000,0.4,0.006198939401656389
0.0001,32,5,2000,0.6,0.006286772899329662
0.0001,32,5,2000,0.8,0.0062907785177230835
0.0001,32,5,2000,1.0,0.006371018476784229
0.0001,32,5,3000,0.2,0.006428784690797329
0.0001,32,5,3000,0.4,0.006316916085779667
0.0001,32,5,3000,0.6,0.006258110515773296
0.0001,32,5,3000,0.8,0.006099735852330923
0.0001,32,5,3000,1.0,0.006241805385798216
0.0001,32,6,300,0.2,0.013619577512145042
0.0001,32,6,300,0.4,0.006380890961736441
0.0001,32,6,300,0.6,0.006785018369555473
0.0001,32,6,300,0.8,0.006509420927613974
0.0001,32,6,300,1.0,0.006774611305445433
0.0001,32,6,500,0.2,0.008330640383064747
0.0001,32,6,500,0.4,0.006349667906761169
0.0001,32,6,500,0.6,0.006489136256277561
0.0001,32,6,500,0.8,0.00655049504712224
0.0001,32,6,500,1.0,0.006559963338077068
0.0001,32,6,700,0.2,0.017724502831697464
0.0001,32,6,700,0.4,0.006429279688745737
0.0001,32,6,700,0.6,0.006434230599552393
0.0001,32,6,700,0.8,0.006414761766791344
0.0001,32,6,700,1.0,0.00634084502235055
0.0001,32,6,1000,0.2,0.007268329616636038
0.0001,32,6,1000,0.4,0.006417608819901943
0.0001,32,6,1000,0.6,0.006299334112554789
0.0001,32,6,1000,0.8,0.00635722279548645
0.0001,32,6,1000,1.0,0.006507530342787504
0.0001,32,6,1500,0.2,0.006939324550330639
0.0001,32,6,1500,0.4,0.00625292444601655
0.0001,32,6,1500,0.6,0.006276602391153574
0.0001,32,6,1500,0.8,0.006326436996459961
0.0001,32,6,1500,1.0,0.006292801350355148
0.0001,32,6,2000,0.2,0.00736140925437212
0.0001,32,6,2000,0.4,0.0063781230710446835
0.0001,32,6,2000,0.6,0.006193476263433695
0.0001,32,6,2000,0.8,0.0061941612511873245
0.0001,32,6,2000,1.0,0.006287784315645695
0.0001,32,6,3000,0.2,0.006314323283731937
0.0001,32,6,3000,0.4,0.006374171935021877
0.0001,32,6,3000,0.6,0.006218380760401487
0.0001,32,6,3000,0.8,0.0064535015262663364
0.0001,32,6,3000,1.0,0.006145420018583536
0.0001,32,7,300,0.2,0.016976064071059227
0.0001,32,7,300,0.4,0.0066383578814566135
0.0001,32,7,300,0.6,0.006480782758444548
0.0001,32,7,300,0.8,0.006468458566814661
0.0001,32,7,300,1.0,0.0066629378125071526
0.0001,32,7,500,0.2,0.016977880150079727
0.0001,32,7,500,0.4,0.00658619636669755
0.0001,32,7,500,0.6,0.006489576306194067
0.0001,32,7,500,0.8,0.006595991551876068
0.0001,32,7,500,1.0,0.006464737467467785
0.0001,32,7,700,0.2,0.01696408912539482
0.0001,32,7,700,0.4,0.00636861938983202
0.0001,32,7,700,0.6,0.006296215113252401
0.0001,32,7,700,0.8,0.006317508406937122
0.0001,32,7,700,1.0,0.006486810743808746
0.0001,32,7,1000,0.2,0.01698637194931507
0.0001,32,7,1000,0.4,0.006266007665544748
0.0001,32,7,1000,0.6,0.006337722297757864
0.0001,32,7,1000,0.8,0.006398514378815889
0.0001,32,7,1000,1.0,0.00633630808442831
0.0001,32,7,1500,0.2,0.0069068437442183495
0.0001,32,7,1500,0.4,0.006232369691133499
0.0001,32,7,1500,0.6,0.00627126544713974
0.0001,32,7,1500,0.8,0.006265873555094004
0.0001,32,7,1500,1.0,0.006161096040159464
0.0001,32,7,2000,0.2,0.016980541869997978
0.0001,32,7,2000,0.4,0.006335952784866095
0.0001,32,7,2000,0.6,0.006301457528024912
0.0001,32,7,2000,0.8,0.006269661709666252
0.0001,32,7,2000,1.0,0.006148503627628088
0.0001,32,7,3000,0.2,0.016964301466941833
0.0001,32,7,3000,0.4,0.006221724674105644
0.0001,32,7,3000,0.6,0.006162476725876331
0.0001,32,7,3000,0.8,0.006151167675852776
0.0001,32,7,3000,1.0,0.006211878266185522
0.0001,32,8,300,0.2,0.02059667371213436
0.0001,32,8,300,0.4,0.007000235375016928
0.0001,32,8,300,0.6,0.006676707416772842
0.0001,32,8,300,0.8,0.0065208724699914455
0.0001,32,8,300,1.0,0.006772908382117748
0.0001,32,8,500,0.2,0.016976376995444298
0.0001,32,8,500,0.4,0.006541788578033447
0.0001,32,8,500,0.6,0.0063307988457381725
0.0001,32,8,500,0.8,0.006639462895691395
0.0001,32,8,500,1.0,0.006391833070665598
0.0001,32,8,700,0.2,0.016975456848740578
0.0001,32,8,700,0.4,0.009249137714505196
0.0001,32,8,700,0.6,0.006368081551045179
0.0001,32,8,700,0.8,0.006282014772295952
0.0001,32,8,700,1.0,0.006281800102442503
0.0001,32,8,1000,0.2,0.016964782029390335
0.0001,32,8,1000,0.4,0.01697828434407711
0.0001,32,8,1000,0.6,0.00639423867687583
0.0001,32,8,1000,0.8,0.006379624828696251
0.0001,32,8,1000,1.0,0.006358718033879995
0.0001,32,8,1500,0.2,0.016976147890090942
0.0001,32,8,1500,0.4,0.0064435359090566635
0.0001,32,8,1500,0.6,0.006412006448954344
0.0001,32,8,1500,0.8,0.006212967913597822
0.0001,32,8,1500,1.0,0.006410997826606035
0.0001,32,8,2000,0.2,0.016964437440037727
0.0001,32,8,2000,0.4,0.00635015033185482
0.0001,32,8,2000,0.6,0.006324118934571743
0.0001,32,8,2000,0.8,0.0062227193266153336
0.0001,32,8,2000,1.0,0.006238309200853109
0.0001,32,8,3000,0.2,0.007390141021460295
0.0001,32,8,3000,0.4,0.006236887536942959
0.0001,32,8,3000,0.6,0.006103076972067356
0.0001,32,8,3000,0.8,0.006220586132258177
0.0001,32,8,3000,1.0,0.006123473402112722
0.0001,32,9,300,0.2,0.017499852925539017
0.0001,32,9,300,0.4,0.01697961613535881
0.0001,32,9,300,0.6,0.00666978070512414
0.0001,32,9,300,0.8,0.006591688841581345
0.0001,32,9,300,1.0,0.0068570529110729694
0.0001,32,9,500,0.2,0.016964055597782135
0.0001,32,9,500,0.4,0.016964327543973923
0.0001,32,9,500,0.6,0.0064819855615496635
0.0001,32,9,500,0.8,0.00651176692917943
0.0001,32,9,500,1.0,0.0063886092975735664
0.0001,32,9,700,0.2,0.016978854313492775
0.0001,32,9,700,0.4,0.016979698091745377
0.0001,32,9,700,0.6,0.006364986300468445
0.0001,32,9,700,0.8,0.006514389533549547
0.0001,32,9,700,1.0,0.006472490727901459
0.0001,32,9,1000,0.2,0.01696844771504402
0.0001,32,9,1000,0.4,0.016977600753307343
0.0001,32,9,1000,0.6,0.006269985344260931
0.0001,32,9,1000,0.8,0.006205340847373009
0.0001,32,9,1000,1.0,0.006417015101760626
0.0001,32,9,1500,0.2,0.01697719842195511
0.0001,32,9,1500,0.4,0.0064701116643846035
0.0001,32,9,1500,0.6,0.006496865302324295
0.0001,32,9,1500,0.8,0.006269216537475586
0.0001,32,9,1500,1.0,0.0063191745430231094
0.0001,32,9,2000,0.2,0.01707618124783039
0.0001,32,9,2000,0.4,0.006318859755992889
0.0001,32,9,2000,0.6,0.006266454700380564
0.0001,32,9,2000,0.8,0.006322669330984354
0.0001,32,9,2000,1.0,0.006103197578340769
0.0001,32,9,3000,0.2,0.01712254248559475
0.0001,32,9,3000,0.4,0.006300488021224737
0.0001,32,9,3000,0.6,0.006157916970551014
0.0001,32,9,3000,0.8,0.006195515859872103
0.0001,32,9,3000,1.0,0.006159232929348946
0.0001,32,10,300,0.2,0.016964135691523552
0.0001,32,10,300,0.4,0.018352076411247253
0.0001,32,10,300,0.6,0.006536242086440325
0.0001,32,10,300,0.8,0.0065827444195747375
0.0001,32,10,300,1.0,0.0064957020804286
0.0001,32,10,500,0.2,0.016964184120297432
0.0001,32,10,500,0.4,0.01698104850947857
0.0001,32,10,500,0.6,0.006384819746017456
0.0001,32,10,500,0.8,0.006522408686578274
0.0001,32,10,500,1.0,0.006429404020309448
0.0001,32,10,700,0.2,0.016975373029708862
0.0001,32,10,700,0.4,0.021099938079714775
0.0001,32,10,700,0.6,0.006494236644357443
0.0001,32,10,700,0.8,0.006316566374152899
0.0001,32,10,700,1.0,0.0064168828539550304
0.0001,32,10,1000,0.2,0.016965268179774284
0.0001,32,10,1000,0.4,0.006605674512684345
0.0001,32,10,1000,0.6,0.006327372044324875
0.0001,32,10,1000,0.8,0.0062909978441894054
0.0001,32,10,1000,1.0,0.006388301029801369
0.0001,32,10,1500,0.2,0.017133453860878944
0.0001,32,10,1500,0.4,0.016979407519102097
0.0001,32,10,1500,0.6,0.0063509768806397915
0.0001,32,10,1500,0.8,0.006268477067351341
0.0001,32,10,1500,1.0,0.006215480621904135
0.0001,32,10,2000,0.2,0.016964256763458252
0.0001,32,10,2000,0.4,0.016964055597782135
0.0001,32,10,2000,0.6,0.006418277509510517
0.0001,32,10,2000,0.8,0.006181355100125074
0.0001,32,10,2000,1.0,0.006373001728206873
0.0001,32,10,3000,0.2,0.01697891764342785
0.0001,32,10,3000,0.4,0.007235185708850622
0.0001,32,10,3000,0.6,0.0062862578779459
0.0001,32,10,3000,0.8,0.006180182099342346
